Country,Case def,Total cases,Date,,,,,
Sierra Leone,All,132,2014-11-16,,,,,
Guinea,All,94,2014-11-18,,,,,
Liberia,All,341,2014-11-18,,,,,
Mali,All,2,2014-11-18,,,,,
Nigeria,All,11,2014-11-18,,,,,
Sierra Leone,All,136,2014-11-18,,,,,
Spain,All,1,2014-11-18,,,,,
USA,All,3,2014-11-18,,,,,
Guinea,All,97,2014-11-23,,,,,
Liberia,All,342,2014-11-23,,,,,
Mali,All,2,2014-11-23,,,,,
Nigeria,All,11,2014-11-23,,,,,
Sierra Leone,All,136,2014-11-23,,,,,
Spain,All,1,2014-11-23,,,,,
USA,All,3,2014-11-23,,,,,
Guinea,All,121,2014-12-07,,,,,
Liberia,All,363,2014-12-07,,,,,
Mali,All,2,2014-12-07,,,,,
Nigeria,All,11,2014-12-07,,,,,
Sierra Leone,All,138,2014-12-07,,,,,
Spain,All,1,2014-12-07,,,,,
USA,All,3,2014-12-07,,,,,
Guinea,All,125,2014-12-14,,,,,
Liberia,All,365,2014-12-14,,,,,
Mali,All,2,2014-12-14,,,,,
Nigeria,All,11,2014-12-14,,,,,
Sierra Leone,All,142,2014-12-14,,,,,
Spain,All,1,2014-12-14,,,,,
USA,All,3,2014-12-14,,,,,
Guinea,All,139,2014-12-21,,,,,
Liberia,All,367,2014-12-21,,,,,
Mali,All,2,2014-12-21,,,,,
Nigeria,All,11,2014-12-21,,,,,
Sierra Leone,All,143,2014-12-21,,,,,
Spain,All,1,2014-12-21,,,,,
USA,All,3,2014-12-21,,,,,
Guinea,All,148,2014-12-28,,,,,
Liberia,All,369,2014-12-28,,,,,
Mali,All,2,2014-12-28,,,,,
Nigeria,All,11,2014-12-28,,,,,
Sierra Leone,All,143,2014-12-28,,,,,
Spain,All,1,2014-12-28,,,,,
United Kingdom,All,1,2014-12-28,,,,,
USA,All,3,2014-12-28,,,,,
Guinea,All,159,2015-01-11,,,,,
Liberia,All,370,2015-01-11,,,,,
Mali,All,2,2015-01-11,,,,,
Nigeria,All,11,2015-01-11,,,,,
Sierra Leone,All,296,2015-01-11,,,,,
Spain,All,1,2015-01-11,,,,,
United Kingdom,All,1,2015-01-11,,,,,
USA,All,3,2015-01-11,,,,,
Guinea,All,162,2015-01-21,,,,,
Liberia,All,370,2015-01-21,,,,,
Mali,All,2,2015-01-21,,,,,
Nigeria,All,11,2015-01-21,,,,,
Sierra Leone,All,296,2015-01-21,,,,,
Spain,All,1,2015-01-21,,,,,
United Kingdom,All,1,2015-01-21,,,,,
USA,All,3,2015-01-21,,,,,
Guinea,All,162,2015-01-28,,,,,
Liberia,All,371,2015-01-28,,,,,
Mali,All,2,2015-01-28,,,,,
Nigeria,All,11,2015-01-28,,,,,
Sierra Leone,All,283,2015-01-28,,,,,
Spain,All,1,2015-01-28,,,,,
United Kingdom,All,1,2015-01-28,,,,,
USA,All,3,2015-01-28,,,,,
Guinea,All,164,2015-02-04,,,,,
Liberia,All,371,2015-02-04,,,,,
Mali,All,2,2015-02-04,,,,,
Nigeria,All,11,2015-02-04,,,,,
Sierra Leone,All,287,2015-02-04,,,,,
Spain,All,1,2015-02-04,,,,,
United Kingdom,All,1,2015-02-04,,,,,
USA,All,3,2015-02-04,,,,,
Guinea,All,166,2015-02-11,,,,,
Liberia,All,371,2015-02-11,,,,,
Mali,All,2,2015-02-11,,,,,
Nigeria,All,11,2015-02-11,,,,,
Sierra Leone,All,293,2015-02-11,,,,,
Spain,All,1,2015-02-11,,,,,
United Kingdom,All,1,2015-02-11,,,,,
USA,All,3,2015-02-11,,,,,
Guinea,All,167,2015-02-18,,,,,
Liberia,All,372,2015-02-18,,,,,
Mali,All,2,2015-02-18,,,,,
Nigeria,All,11,2015-02-18,,,,,
Sierra Leone,All,294,2015-02-18,,,,,
Spain,All,1,2015-02-18,,,,,
United Kingdom,All,1,2015-02-18,,,,,
USA,All,3,2015-02-18,,,,,
Guinea,All,170,2015-02-25,,,,,
Liberia,All,372,2015-02-25,,,,,
Mali,All,2,2015-02-25,,,,,
Nigeria,All,11,2015-02-25,,,,,
Sierra Leone,All,295,2015-02-25,,,,,
Spain,All,1,2015-02-25,,,,,
United Kingdom,All,1,2015-02-25,,,,,
USA,All,3,2015-02-25,,,,,
Guinea,All,172,2015-03-04,,,,,
Liberia,All,372,2015-03-04,,,,,
Mali,All,2,2015-03-04,,,,,
Nigeria,All,11,2015-03-04,,,,,
Sierra Leone,All,295,2015-03-04,,,,,
Spain,All,1,2015-03-04,,,,,
United Kingdom,All,1,2015-03-04,,,,,
USA,All,3,2015-03-04,,,,,
Guinea,All,173,2015-03-11,,,,,
Liberia,All,372,2015-03-11,,,,,
Mali,All,2,2015-03-11,,,,,
Nigeria,All,11,2015-03-11,,,,,
Sierra Leone,All,295,2015-03-11,,,,,
Spain,All,1,2015-03-11,,,,,
United Kingdom,All,1,2015-03-11,,,,,
USA,All,3,2015-03-11,,,,,
Guinea,All,178,2015-03-18,,,,,
Liberia,All,372,2015-03-18,,,,,
Mali,All,2,2015-03-18,,,,,
Nigeria,All,11,2015-03-18,,,,,
Sierra Leone,All,302,2015-03-18,,,,,
Spain,All,1,2015-03-18,,,,,
United Kingdom,All,1,2015-03-18,,,,,
USA,All,3,2015-03-18,,,,,
Guinea,All,179,2015-03-25,,,,,
Liberia,All,372,2015-03-25,,,,,
Mali,All,2,2015-03-25,,,,,
Nigeria,All,11,2015-03-25,,,,,
Sierra Leone,All,302,2015-03-25,,,,,
Spain,All,1,2015-03-25,,,,,
United Kingdom,All,1,2015-03-25,,,,,
USA,All,3,2015-03-25,,,,,
Guinea,All,186,2015-04-01,,,,,
Liberia,All,372,2015-04-01,,,,,
Mali,All,2,2015-04-01,,,,,
Nigeria,All,11,2015-04-01,,,,,
Sierra Leone,All,303,2015-04-01,,,,,
Spain,All,1,2015-04-01,,,,,
United Kingdom,All,1,2015-04-01,,,,,
USA,All,3,2015-04-01,,,,,
Guinea,All,186,2015-04-08,,,,,
Liberia,All,372,2015-04-08,,,,,
Mali,All,2,2015-04-08,,,,,
Nigeria,All,11,2015-04-08,,,,,
Sierra Leone,All,303,2015-04-08,,,,,
Spain,All,1,2015-04-08,,,,,
United Kingdom,All,1,2015-04-08,,,,,
USA,All,3,2015-04-08,,,,,
Guinea,All,187,2015-04-15,,,,,
Liberia,All,374,2015-04-15,,,,,
Mali,All,2,2015-04-15,,,,,
Nigeria,All,11,2015-04-15,,,,,
Sierra Leone,All,303,2015-04-15,,,,,
Spain,All,1,2015-04-15,,,,,
United Kingdom,All,1,2015-04-15,,,,,
USA,All,3,2015-04-15,,,,,
Guinea,All,187,2015-04-22,,,,,
Liberia,All,375,2015-04-22,,,,,
Mali,All,2,2015-04-22,,,,,
Nigeria,All,11,2015-04-22,,,,,
Sierra Leone,All,303,2015-04-22,,,,,
Spain,All,1,2015-04-22,,,,,
United Kingdom,All,1,2015-04-22,,,,,
USA,All,3,2015-04-22,,,,,
Guinea,All,187,2015-04-29,,,,,
Liberia,All,375,2015-04-29,,,,,
Mali,All,2,2015-04-29,,,,,
Nigeria,All,11,2015-04-29,,,,,
Sierra Leone,All,303,2015-04-29,,,,,
Spain,All,1,2015-04-29,,,,,
United Kingdom,All,1,2015-04-29,,,,,
USA,All,3,2015-04-29,,,,,
Guinea,All,187,2015-05-06,,,,,
Liberia,All,378,2015-05-06,,,,,
Mali,All,2,2015-05-06,,,,,
Nigeria,All,11,2015-05-06,,,,,
Sierra Leone,All,303,2015-05-06,,,,,
Spain,All,1,2015-05-06,,,,,
United Kingdom,All,1,2015-05-06,,,,,
USA,All,3,2015-05-06,,,,,
Guinea,All,187,2015-05-13,,,,,
Liberia,All,378,2015-05-13,,,,,
Mali,All,2,2015-05-13,,,,,
Nigeria,All,11,2015-05-13,,,,,
Sierra Leone,All,303,2015-05-13,,,,,
Spain,All,1,2015-05-13,,,,,
United Kingdom,All,1,2015-05-13,,,,,
USA,All,3,2015-05-13,,,,,
Guinea,All,187,2015-05-20,,,,,
Liberia,All,378,2015-05-20,,,,,
Mali,All,2,2015-05-20,,,,,
Nigeria,All,11,2015-05-20,,,,,
Sierra Leone,All,304,2015-05-20,,,,,
Spain,All,1,2015-05-20,,,,,
United Kingdom,All,1,2015-05-20,,,,,
USA,All,3,2015-05-20,,,,,
Guinea,All,187,2015-05-27,,,,,
Liberia,All,378,2015-05-27,,,,,
Mali,All,2,2015-05-27,,,,,
Nigeria,All,11,2015-05-27,,,,,
Sierra Leone,All,304,2015-05-27,,,,,
Spain,All,1,2015-05-27,,,,,
United Kingdom,All,1,2015-05-27,,,,,
USA,All,3,2015-05-27,,,,,
Guinea,All,187,2015-06-03,,,,,
Liberia,All,378,2015-06-03,,,,,
Mali,All,2,2015-06-03,,,,,
Nigeria,All,11,2015-06-03,,,,,
Sierra Leone,All,304,2015-06-03,,,,,
Spain,All,1,2015-06-03,,,,,
United Kingdom,All,1,2015-06-03,,,,,
USA,All,3,2015-06-03,,,,,
Guinea,All,187,2015-06-10,,,,,
Liberia,All,378,2015-06-10,,,,,
Mali,All,2,2015-06-10,,,,,
Nigeria,All,11,2015-06-10,,,,,
Sierra Leone,All,304,2015-06-10,,,,,
Spain,All,1,2015-06-10,,,,,
United Kingdom,All,1,2015-06-10,,,,,
USA,All,3,2015-06-10,,,,,
Guinea,All,187,2015-06-17,,,,,
Liberia,All,378,2015-06-17,,,,,
Mali,All,2,2015-06-17,,,,,
Nigeria,All,11,2015-06-17,,,,,
Sierra Leone,All,304,2015-06-17,,,,,
Spain,All,1,2015-06-17,,,,,
United Kingdom,All,1,2015-06-17,,,,,
USA,All,3,2015-06-17,,,,,
Guinea,All,189,2015-06-24,,,,,
Liberia,All,378,2015-06-24,,,,,
Mali,All,2,2015-06-24,,,,,
Nigeria,All,11,2015-06-24,,,,,
Sierra Leone,All,305,2015-06-24,,,,,
Spain,All,1,2015-06-24,,,,,
United Kingdom,All,1,2015-06-24,,,,,
USA,All,3,2015-06-24,,,,,
Guinea,All,191,2015-07-01,,,,,
Liberia,All,378,2015-07-01,,,,,
Mali,All,2,2015-07-01,,,,,
Nigeria,All,11,2015-07-01,,,,,
Sierra Leone,All,305,2015-07-01,,,,,
Spain,All,1,2015-07-01,,,,,
United Kingdom,All,1,2015-07-01,,,,,
USA,All,3,2015-07-01,,,,,
Guinea,All,191,2015-07-08,,,,,
Liberia,All,378,2015-07-08,,,,,
Mali,All,2,2015-07-08,,,,,
Nigeria,All,11,2015-07-08,,,,,
Sierra Leone,All,306,2015-07-08,,,,,
Spain,All,1,2015-07-08,,,,,
United Kingdom,All,1,2015-07-08,,,,,
USA,All,3,2015-07-08,,,,,
Guinea,All,192,2015-07-15,,,,,
Liberia,All,378,2015-07-15,,,,,
Mali,All,2,2015-07-15,,,,,
Nigeria,All,11,2015-07-15,,,,,
Sierra Leone,All,306,2015-07-15,,,,,
Spain,All,1,2015-07-15,,,,,
United Kingdom,All,1,2015-07-15,,,,,
USA,All,3,2015-07-15,,,,,
Guinea,All,194,2015-07-22,,,,,
Liberia,All,378,2015-07-22,,,,,
Mali,All,2,2015-07-22,,,,,
Nigeria,All,11,2015-07-22,,,,,
Sierra Leone,All,307,2015-07-22,,,,,
Spain,All,1,2015-07-22,,,,,
